MUS,NAME_IT MUS_Descrizione_Contatto_v2,MUS,BEZEICHNUNG_I Servizio web dei Musei in Alto Adige
ALD,Museo civico di Aldino,ALD,Museo locale di Aldino
,,AUG*,Abbazia dei Canonici Agostiniani di Novacella
BAL*,Comitato di educazione permanente di Luson,,
BRU,Museo Civico di Brunico,BRU,ECK Museum of Art
DBX,Museo Diocesano Hofburg di Bressanone,DBX,Museo Diocesano Hofburg di Bressanone
FRM,Museo delle Donne di Merano,FRM,Museo delle Donne
FSC*,Fondazione Socin,,
GUF,Museo locale di Gudon,GUF,Museo locale di Gudon
GVA*,Associazione di storia della Valle Aurina,,
KLA,Museo Civico di Chiusa,KLA,Museo Civico di Chiusa
,,KMA*,Merano Arte
LAV*,"Ufficio Film e media, Provincia autonoma di Bolzano - Alto Adige",,
LVA*,"Ufficio Beni patrimoniali, Provincia autonoma di Bolzano - Alto Adige",,
MAL,Museo di cultura popolare di Egna,MAL,Museo di cultura popolare
MAR,"Museo “Ora et labora”, Abbazia di Montemaria",MAR,"Museo ""Ora et labora"" dell'Abbazia di Marienberg"
MGH,Museum Gherdëina,MGH,Museum Gherdëina
MHP,MuseoAltaPassiria,MHP,MuseoAltaPassiria - Bunker Mooseum
,,MHP*,MuseoAltaPassiria - Timmel_Transit
MSK*,Ente Gestione Teatro e Kurhaus di Merano,,
MUR,Collezione di presepi del Convento Muri Gries,MUR,Collezione di presepi del Convento Muri Gries
MVB,Società del Museo di Bolzano,MVB,Museo Civico di Bolzano
MZK,Fondazione Museion. Museo d'arte moderna e contemporanea di Bolzano,MZK,Museion - Museo d'arte moderna e contemporanea 
NMS,Museo di Scienze Naturali dell'Alto Adige,NMS,Museo di Scienze Naturali dell'Alto Adige
NUS,Villa Freischütz - La Casa Museo,NUS,Villa Freischütz - La Casa Museo
PAS,MuseoPassiria - Andreas Hofer,PAS,MuseoPassiria - Andreas Hofer
PMB,Museo della Farmacia di Bressanone,PMB,Museo della Farmacia di Bressanone
PNO*,Parrocchia di San Pietro Apostolo e Sant'Agnese a Valdaora,,
ROH,Rohrerhaus,ROH,Rohrerhaus
,,RUS*,Raccolta russo-ortodossa Nadezhda Ivanovna Borodina
SAB*,Archivio comunale di Bressanone,,
SAM,Museo Archeologico dell'Alto Adige,SAM,Museo Archeologico dell'Alto Adige
SBM*,Museo Provinciale Miniere dell'Alto Adige,,
,,SBM*,Museo provinciale Miniere - sede Monteneve
,,SBM*,Museo provinciale Miniere - sede Predoi con Centro climatico
,,SBM*,Museo provinciale Miniere - sede Ridanna
SGB*,Città di Brunico,,
,,SKM*,Castel Tirolo - Museo storico-culturale della Provincia di Bolzano 
SLAR*,Archivio provinciale di Bolzano,,
SME,Palais Mamming Museum,SME,Palais Mamming Museum
SML,Museum Ladin Ciastel de Tor,SML,Museum Ladin Ciastel de Tor
SMM,Museo delle macchine da scrivere - Peter Mitterhofer,SMM,Museo delle macchine da scrivere Peter Mitterhofer
STM,Touriseum - Museo provinciale del Turismo (Alto Adige) - Castel Trauttmansdorff,STM,Touriseum - Museo provinciale del Turismo - Castel Trauttmansdorff
SVM,Museo provinciale degli usi e costumi (Alto Adige),SVM,Museo provinciale degli usi e costumi
TAP*,Archivio Tirolese per la documentazione e l'arte fotografica,,
TEI,Museo mineralogico di Tiso,TEI,Museo Mineralogico di Tiso
TRA,Hoamet Tramin Museum,TRA,Hoamet Tramin Museum - Vivere tra nord e sud
UTM,Museo della Val d’Ultimo,UTM,Museo della Val d'Ultimo
VCT*,Veteran Car Team,,
VEM*,Museo virtuale,,
ZAV*,"Archivio audiovisivo di storia contemporanea, Ufficio Film e media, Provincia autonoma di Bolzano - Alto Adige",,
