Sigla,Denominazione,DENOMINAZIONE_DE,COMUNE_DE,COMUNE_IT,CAP,INDIRIZZO_DE,INDIRIZZO_IT,EMAIL,TELEFONO,HOMEPAGE_IT,HOMEPAGE_DE
ALD,Museo civico di Aldino,Dorfmuseum Aldein,Aldein,Aldino,39040,Dorfplatz  41,Piazza del Paese 41,"info@museo-aldino.com
info@museum-aldein.com ",+39 338 1085870,museo-aldino.it,museum-aldein.com 
BAL,Comitato di educazione permanente di Luson,Bildungsausschuss Lüsen,Lüsen,Luson,39040,Dorfgasse 12,Vicolo Dorf 12,luesen@bildungsausschuss.bz.it,,,www.gemeinde.luesen.bz.it/de/Bildungsausschuss_Luesen
BRU,Museo Civico di Brunico,Stadtmuseum Bruneck,Bruneck,Brunico,39031,Bruder-Willram-Straße 1,Via Bruder Willram 1,info@stadtmuseum-bruneck.it,+39 0474 553292,stadtmuseum-bruneck.it,stadtmuseum-bruneck.it
DBX,Museo Diocesano Hofburg di Bressanone,Diözesanmuseum Hofburg Brixen,Brixen,Bressanone,39042,Hofburgplatz 2,Piazza Palazzo Vescovile 2,info@hofburg.it,+39 0472 830505,hofburg.it,hofburg.it
FRM,Museo delle Donne di Merano,Frauenmuseum Meran,Meran,Merano,39012,Meinhardstraße 2,Via Mainardo 2,info@museia.it,+39 0473 231216,museia.it,museia.it
FSC,Fondazione Socin,Stiftung Socin,Bozen,Bolzano,39100,Siegesplatz 47,Piazza della Vittoria 47,,+39 0471 272 216,fondazionesocin.it,
GUF,Museo locale di Gudon,Dorfmuseum Gufidaun,Klausen,Chiusa,39043,Gufidaun 47,Gudon 47,info@dorfmuseum-gufidaun.it,+39 348 7747339,dorfmuseum-gufidaun.it,dorfmuseum-gufidaun.it
GVA,Associazione di storia della Valle Aurina,Geschichtsverein Ahrntal,Ahrntal,Valle Aurina,39030,St. Johann 107/B,San Giovanni 107/B,geschichtsverein-ahrntal@hotmail.com,+39 0474 652055,,geschichtsverein-ahrntal.jimdofree.com/
KLA,Museo Civico di Chiusa,Stadmuseum Klausen,Klausen,Chiusa,39043,"Kapuzinerkloster, Frag 1","Convento dei Capuccini, Fraghes 1",museum@klausen.bz.it,+39 0472 846148,museumklausenchiusa.it,museumklausenchiusa.it
LAV,"Ufficio Film e media, Provincia autonoma di Bolzano - Alto Adige","Amt für Film und Medien, Autonome Provinz Bozen - Südtirol",Bozen,Bolzano,39100,"Landhaus 7, Andreas-Hofer-Straße 18 ","Palazzo 7, via Andreas Hofer 18","medien@provincia.bz.it
medien@provinz.bz.it",+39 0471 412915,,provinz.bz.it/kunst-kultur/film-medien/medienarchive.asp
LVA,"Ufficio Beni patrimoniali, Provincia autonoma di Bolzano - Alto Adige","Amt für Vermögensgüter, Autonome Provinz Bozen - Südtirol",Bozen,Bolzano,39100,"Landhaus 2, Silvius-Magnago-Platz 10","Palazzo 2, Piazza Silvius Magnago 10","beni.patrimoniali@provincia.bz.it
vermoegensgueter@provinz.bz.it",+39 0471 413060,provincia.bz.it/amministrazione/patrimonio,provinz.bz.it/vermoegensverwaltung
MAL,Museo di cultura popolare di Egna,Museum für Alltagskultur Neumarkt,Neumarkt,Egna,39044,Andreas-Hofer-Straße 50,Via Andreas Hofer 50,info@museum-alltagskultur.it,+39 335 8187598,,museum-alltagskultur.it
MAR,"Museo “Ora et labora”, Abbazia di Montemaria","Museum „Ora et labora“, Kloster Marienberg",Mals,Malles,39024,Schlinig 1,Slingia 1,info@marienberg.it,+39 0473 843980,marienberg.it,marienberg.it
MGH,Museum Gherdëina,Museum Gherdëina,St. Ulrich,Ortisei,39046,"Cësa di Ladins, Reziastraße 83","Cësa di Ladins, Via Rezia 83",info@museumgherdeina.it,+39 0471 797554,museumgherdeina.it,museumgherdeina.it
MHP,MuseoAltaPassiria,MuseumHinterPasseier,Moos in Passeier,Moso in Passiria,39013,Dorf 29/A,Paese 29/A,info@museum.hinterpasseier.it,+39 0473 648529,museum.hinterpasseier.it,museum.hinterpasseier.it
MSK,Ente Gestione Teatro e Kurhaus di Merano,Meraner Stadttheater- und Kurhausverein,Meran,Merano,39012,Freiheitsstraße 33,Corso Libertà 33,info@kurhaus.it,+39 0473 496000,kurhaus.it,kurhaus.it
MUR,Collezione di presepi del Convento Muri Gries,Krippensammlung Kloster Muri Gries,Bozen,Bolzano,39100,"Kloster Muri Gries, Grieser Platz 21","Convento Muri Gries, Piazza Gries 21",info@krippenmuseum.it,+39 0471 281116,krippenmuseum.it,krippenmuseum.it
MVB,Società del Museo di Bolzano,Museumsverein Bozen,Bozen,Bolzano,39100,Sparkassestraße 14,Via Cassa di Risparmio 14,"museo.civico@comune.bolzano.it
stadtmuseum@gemeinde.bozen.it",+39 0471 997960,comune.bolzano.it/museocivico,gemeinde.bozen.it/stadtmuseum
MZK,Fondazione Museion. Museo d'arte moderna e contemporanea di Bolzano,Stiftung Museion. Museum für moderne und zeitgenössische Kunst Bozen,Bozen,Bolzano,39100,Piero-Siena-Platz 1,Piazza Piero Siena 1,info@museion.it,+39 0471 223413,museion.it,museion.it
NMS,Museo di Scienze Naturali dell'Alto Adige,Naturmuseum Südtirol,Bozen,Bolzano,39100,Bindergasse 1,Via Bottai 1,"info@museonatura.it
info@naturmuseum.it ",+39 0471 412964,natura.museum,natura.museum
PAS,MuseoPassiria - Andreas Hofer,MuseumPasseier - Andreas Hofer,St. Leonhard in Passeier,San Leonardo in Passiria,39015,"Sandhof, Passeirerstraße 72","Maso Sand, Via Passiria 72",info@museum.passeier.it,+39 0473 659086,museum.passeier.it,museum.passeier.it
