CODE,NAME_IT,NAME_DE,CITY_IT,CITY_DE,POSTCODE,ADDRESS_IT,ADDRESS_DE,EMAIL,PHONE,WEBSITE_IT,WEBSITE_DE
ALD,Museo civico di Aldino,Dorfmuseum Aldein,Aldino,Aldein,39040,Piazza del Paese 41,Dorfplatz  41,"info@museo-aldino.com
info@museum-aldein.com ",+39 338 1085870,museo-aldino.it,museum-aldein.com 
BAL,Comitato di educazione permanente di Luson,Bildungsausschuss Lüsen,Luson,Lüsen,39040,Vicolo Dorf 12,Dorfgasse 12,luesen@bildungsausschuss.bz.it,,,www.gemeinde.luesen.bz.it/de/Bildungsausschuss_Luesen
BRU,Museo Civico di Brunico,Stadtmuseum Bruneck,Brunico,Bruneck,39031,Via Bruder Willram 1,Bruder-Willram-Straße 1,info@stadtmuseum-bruneck.it,+39 0474 553292,stadtmuseum-bruneck.it,stadtmuseum-bruneck.it
DBX,Museo Diocesano Hofburg di Bressanone,Diözesanmuseum Hofburg Brixen,Bressanone,Brixen,39042,Piazza Palazzo Vescovile 2,Hofburgplatz 2,info@hofburg.it,+39 0472 830505,hofburg.it,hofburg.it
FRM,Museo delle Donne di Merano,Frauenmuseum Meran,Merano,Meran,39012,Via Mainardo 2,Meinhardstraße 2,info@museia.it,+39 0473 231216,museia.it,museia.it
FSC,Fondazione Socin,Stiftung Socin,Bolzano,Bozen,39100,Piazza della Vittoria 47,Siegesplatz 47,,+39 0471 272 216,fondazionesocin.it,
GUF,Museo locale di Gudon,Dorfmuseum Gufidaun,Chiusa,Klausen,39043,Gudon 47,Gufidaun 47,info@dorfmuseum-gufidaun.it,+39 348 7747339,dorfmuseum-gufidaun.it,dorfmuseum-gufidaun.it
GVA,Associazione di storia della Valle Aurina,Geschichtsverein Ahrntal,Valle Aurina,Ahrntal,39030,San Giovanni 107/B,St. Johann 107/B,geschichtsverein-ahrntal@hotmail.com,+39 0474 652055,,geschichtsverein-ahrntal.jimdofree.com/
KLA,Museo Civico di Chiusa,Stadmuseum Klausen,Chiusa,Klausen,39043,"Convento dei Capuccini, Fraghes 1","Kapuzinerkloster, Frag 1",museum@klausen.bz.it,+39 0472 846148,museumklausenchiusa.it,museumklausenchiusa.it
LAV,"Ufficio Film e media, Provincia autonoma di Bolzano - Alto Adige","Amt für Film und Medien, Autonome Provinz Bozen - Südtirol",Bolzano,Bozen,39100,"Palazzo 7, via Andreas Hofer 18","Landhaus 7, Andreas-Hofer-Straße 18 ","medien@provincia.bz.it
medien@provinz.bz.it",+39 0471 412915,,provinz.bz.it/kunst-kultur/film-medien/medienarchive.asp
