Sigla;Denominazione;Numero;;;;;
LAV;Ufficio film e media;64995;;;;;
SVM;Museo provinciale degli usi e costumi;34577;;;;;
NMS;Museo di scienze naturali dell'Alto Adige;25744;;;;;
STM;Touriseum - Museo provinciale del Turismo - Castel Trauttmansdorff;14967;;;;;
SMM;"Museo delle macchine da scrivere ""Peter Mitterhofer""";13114;;;;;
PMB;Museo della Farmacia Bressanone;5112;;;;;
ALD;Museo locale di Aldino;4691;;;;;
BRU;Museo civico di Brunico;4174;;;;;
MZK;Fondazione MUSEION. Museo d'arte moderna e contemporanea Bolzano;3124;;;;;
ZAV;Archivio audiovisivo di storia contemporanea;3019;;;;;
MAL;Museo di cultura popolare;2033;;;;;
GVA;Associazione di storia della Valle Aurina;1201;;;;;
SML;Museum Ladin Ciastel de Tor;1186;;;;;
FSC;Fondazione Socin;476;;;;;
GUF;Museo locale Gudon;443;;;;;
MSK;Ente Gestione Teatro e Kurhaus di Merano;336;;;;;
LVA;Ufficio provinciale Patrimonio;298;;;;;
ROH;Rohrerhaus;265;;;;;
VEM;Museo virtuale;233;;;;;s
SAM;Museo Archeologico dell'Alto Adige;203;;;;;
UTM;Museo della Val d'Ultimo;173;;;;;
TRA;Hoamet Tramin - Museum;52;;;;;
DBX;Museo Diocesano;43;;;;;
MUR;Collezione di presepi del Convento Muri Gries;39;;;;;
BAL;Consulta culturale Luson;19;;;;;
FRM;Museo della Donna;17;;;;;
VCT;Veteran Car Team;13;;;;;
SME;Palais Mamming Museum;12;;;;;
PNO;Pfarrei zum Hl. Apostel Petrus und zur Hl. Agnes in Olang;7;;;;;
MGH;Museum Gherdëina;1;;;;;
PAS;Museo Passiria - Andreas Hofer;1;;;;;
