BEZEICHNUNG_D,BEZEICHNUNG_I,BEZEICHNUNG_E,ADRESSE_D,ADRESSE_I,PLZ,ORTSCHAFT_D,ORTSCHAFT_I,HOMEPAGE_D,HOMEPAGE_I,TELEFON,TELEFON 2,FAX,EMAIL_I,EMAIL_D,EINTRITT_D,EINTRITT_I,EINTRITT_E,ÖFFNUNGSZEITEN_D,ÖFFNUNGSZEITEN_I,ÖFFNUNGSZEITEN_E,BESCHREIBUNG_D,BESCHREIBUNG_I,BESCHREIBUNG_E,GEOKOORDINATE_X,GEOKOORDINATE_Y
Krippensammlung Stabinger,Collezione di presepi Stabinger,Stabinger Crib Collection ,"Hotel Mondschein, Dolomitenstraße 5","Albergo Mondschein, via Dolomiti, 5",39030,Sexten,Sesto,www.hotelmondschein.com,www.hotelmondschein.com,+39 0474 710322,,+39 0474 710252,info@hotelmondschein.com,info@hotelmondschein.com,freiwillige Spende,offerta libera,free offering,"25. Dez - 15. Apr, 15. Juni - 15. Okt - Mi - So 8 - 12 Uhr","25 dic-15 apr, 15 giu-15 ott - mer-dom ore 8-12","25/12 - 15/04, 15/06 - 15/10 - Thu - Sun 8 am - 12 am","Die Sammlung umfasst vier Panoramakrippen mit klassisch-orientalischem Charakter und verschiedene Tiroler Krippen, die Anton Stabinger nach einer Pilgerreise nach Palästina im Jahre 1906 originalgetreu nachgebaut hat.","La collezione comprende quattro presepi panoramici di carattere classico-orientale e diversi presepi tirolesi, realizzati su schizzi originali dei Luoghi Santi da Anton Stabinger, originario di Sesto, dopo un pellegrinaggio in Palestina nel 1906.","The collection includes four panorama nativity scenes with a classical oriental character and various Tyrolean nativity scenes, which Anton Stabinger faithfully recreated after a pilgrimage to Palestine in 1906.",12.35007,46.70246
Pfarrmuseum St. Michael,Museo parrocchiale di S. Michele,St. Michael Parish Museum,"Kirche St. Michael, Kirchgasse","Chiesa di San Michele, via della chiesa",39020,Taufers im Münstertal,Tubre,,,+39 0473 831190,,,,,Eintritt frei,ingresso libero,free entrance,Juli-Mitte Okt - Mi 10-12 h,giu-metà ott - mer h 10-12,July-mid-Oct - Wed 10-12,Die Kirche St. Michael ist seit 2000 ein Museum und beherbergt sakrale Kunstwerke aus den umliegenden Tauferer Kirchen.,Dal 2000 la chiesa di San Michele è un museo che custodisce opere d’arte sacra provenienti dalle vicine chiese di Tubre.,The church of St. Michael has been a museum since 2000 and houses sacred works of art from the surrounding churches in Taufers/Tubre.,10.467359,46.648747
Dolomythos: Das Museum zum Welt-Naturerbe,Dolomythos - Il museo del Patrimonio Naturale ,Dolomythos - The Natural Heritage of Humanity Museum,"Villa Wachtler, P.-P.-Rainer-Straße 11","Villa Wachtler, via P. P. Rainer, 11",39038,Innichen,San Candido,www.dolomythos.com,www.dolomythos.com,+39 0474 913462,,+39 0474 913092,info@dolomythos.com,info@dolomythos.com,"10,00 € Erwachsene  - 6,00 € Kinder (4-14 Jahre)  - Kinder bis 4 Jahren frei - 24,00 € Familienkarte (Eltern, Kinder bis 14 J.) - 8,50 € Gruppen ab 15 Personen, Senioren (ab 60), Studenten (unter 27) - 3,50 € Schulklassen  - 25,00 € Führung (nur auf Anfrage)","€ 10,00 adulti - € 6,00 bambini (4-14 anni)  - bambini fino ai 4 anni gratuito - € 24,00 biglietto famiglia (genitori e bambini fino ai 14 anni) - € 8,50 gruppi da 15 persone in sù, anziani (dai 60 anni), studenti (sotto i 27 anni) - € 3,50 scolaresche  - € 25,00 visita guidata (solo su richiesta)","€10.00 adults - €6.00 children (4-14 years)  - free for children up to 4 years - €24.00 families (parents and children up to 14) - €8.50 groups (15 or more), elderly (60 years or more), students (under 27) - €3.50 school classes  - €25.00 guided tours (on request)",täglich 8-19 h - geschl. 25. Dez,tutti i giorni h 8-19 - chiuso 25 dic,daily 8-7 pm - closed 25 Dec,"Im Zentrum stehen die Dolomiten als UNESCO-Welterbe, deren Entstehung und die Erforschung der geologischen Besonderheiten sowie die Pflanzen- und Tierwelt der „bleichen Berge“ – auch Dinosaurier. Weitere Themen sind Mythen und Legenden sowie die Welt der Kräuter. Kinder können sich auf Schatzsuche begeben und nach Fossilien, Bergkristallen und Gold graben.","Al centro della mostra si situano le Dolomiti Patrimonio naturale dell’umanità UNESCO, la loro genesi e la loro geologia, nonché il mondo vegetale e animale dei “monti pallidi” – compresi i dinosauri. Ulteriori temi sono i miti e le leggende e il mondo delle erbe. I bambini possono intraprendere una caccia al tesoro e cercare fossili, cristalli e oro.","The focus is on the Dolomites as a UNESCO World Heritage Site, their formation and research into the geological features as well as the flora and fauna of the “pale mountains” - including dinosaurs. Other topics include myths and legends and the world of herbs. Children can go on a treasure hunt and dig for fossils, rock crystals and gold.",12.280102,46.7334555
Jaufenburg,Castel Giovo,Jaufenburg Castle,Schlossweg 45,Via Castello 45,39015,St. Leonhard in Passeier,San Leonardo in Passiria,www.museum.passeier.it,www.museum.passeier.it,+39 0473 659086,,+39 0473 657721,info@museum.passeier.it ,info@museum.passeier.it,freiwillige Spende,offerta libera,free donation,Juni-Sep - Mo 10-13 h - Führungen auf Anmeldung,giu-set - lun h 10-13 - visite guidate su prenotazione,June-Sep - Mon 10-1 pm,"Die Ruine der Jaufenburg dokumentiert neben ihrer Geschichte auch talbezogene Themen wie das Gericht Passeier, die Schildhöfe und die beeindruckenden Renaissance-Malereien von Bartlme Dill Riemenschneider von 1538.","Le rovine di Castel Giovo documentano, accanto alla storia del castello, anche temi legati al territorio, come il Tribunale della Val Passiria, i masi detti “Schildhöfe” e gli impressionanti affreschi rinascimentali del 1538 di Bartlme Dill Riemenschneider.","The ruins of the Jaufenburg Castle document it's history as well as aspects of the valley, such as the local court, the peculiar ""shield"" farms and the especially impressive Renaissance paintings by Bartlme Dill Riemenschneider from 1538.",11.25216722,46.81534828
Museum Ladin Ursus ladinicus,Museum Ladin Ursus ladinicus,Museum Ladin Ursus ladinicus,Strada Micurá de Rü 26,"Strada Micurá de Rü, 26",39030,St. Kassian,San Cassiano,www.museumladin.it,www.museumladin.it,+39 0474 524020,,+39 0474 524263,info@museumladin.it,info@museumladin.it,"Kombiticket Museum Ladin Ursus Ladinicus + Museum Ladin Ciastel de Tor: -  - 10,00 € Erwachsene  - 8,00 € Senioren (ab 65 J.), Gruppen (ab 15 Pers.), Jugendliche, Studenten (bis 27), Menschen mit Beeinträchtigung  - 2,00 € Schulklassen + € 1,00 für jede didaktische Tätigkeit (nur in ladinischer, deutscher und italienischer Sprache ) - 20,00 € Familien (2 Erwachsene, Kinder bis 16 J.)  - Kinder bis 6 Jahre frei - Nur Museum Ladin Ursus ladinicus: - 6,00 € Erwachsene  - 4,50 € Senioren (ab 65 J.), Gruppen (ab 15 Pers.), Jugendliche, Studenten (bis 27), Menschen mit Beeinträchtigung  - 2,00 € Schulklassen + € 1,00 für jede didaktische Tätigkeit (nur in ladinischer, deutscher und italienischer Sprache ) - 12,00 € Familien (2 Erwachsene, Kinder bis 16 J.)  - Kinder bis 6 Jahre frei","Biglietto combinato Museum Ladin Ursus ladinicus + Museum Ladin Ciastel de Tor: - € 10,00 adulti  - € 8,00 anziani (oltre 65 a.). gruppi (a part. da 15 pers.), giovani, studenti (fino ai 27 a.), persone con disabilità  - € 2,00 scolaresche + € 1,00 per ogni attività didattica (solo in lingua ladina, tedesca e italiana) - € 20,00 famiglie (2 adulti, bimbi fino ai 16)  - bambini fino a 6 anni gratis - Solo Museum Ladin Ursus ladinicus: - € 6,00 adulti  - € 4,50 anziani (oltre 65 a.). gruppi (a part. da 15 pers.), giovani, studenti (fino ai 27 a.), persone con disabilità  - € 2,00 scolaresche + € 1,00 per ogni attività didattica (solo in lingua ladina, tedesca e italiana) - € 12,00 famiglie (2 adulti, bimbi fino ai 16)  - bambini fino a 6 anni gratis","Combiticket  Museum Ladin Ursus ladinicus + Museum Ladin Ciastel de Tor: - €10.00 € adults  - €8.00 € seniors (over 65 years), groups (15 or more), students (up to 27 years) disabled persons  - €2.00 € students (with class) + €1.00 € for each Educational  activity (Ladin, German and Italian are the only languages used during  the activities) - €20.00 families (2 adults, children up to 16 years)  - children up to 6 years free - Only Museum Ladin Ursus ladinicus: - €6.00 € adults  - €4.50 € seniors (over 65 years), groups (15 or more), students (up to 27 years), disabled persons  - €2.00 € students (with class) + €1.00 € for each Educational   activity (Ladin, German and Italian are the only languages used during   the activities) - €12.00 families (2 adults, children up to 16 years)  - children up to 6 years free","26. Dez - 15. März - Do, Fr 10 - 18 Uhr - 1. Mai - 1. So im Nov - Di - So 10 - 18 Uhr","26 dic-15 marzo - gio, ven ore 10-18 - 1 mag-1a dom nov - mar-dom ore 10-18","26/12 - 15/03 - Thu, Fri 10 am - 6 pm - 1st May - 1st Sun in Nov - Tue - Sun 10 am - 6 pm","Das Museum ist dem prähistorischen Höhlenbären und der Geologie der Dolomiten gewidmet. Auf drei Stockwerken erklärt es die Geschichte und den Lebensraum der vor rund 40.000 Jahren lebenden Höhlenbären. Kernstück sind die originalen Knochen, Zähne und Schädel der im Jahr 1984 entdeckten Höhlenbärenart „Ursus ladinicus“. Videoinstallationen, ein vollständiges Skelett und die detailgetreue Nachbildung des schlafenden Ursus ladinicus bereichern den Rundgang.","Il museo è dedicato all’orso preistorico e alla geologia delle Dolomiti. Su tre piani, fa conoscere la storia e l’ambiente dell’orso delle caverne vissuto 40.000 anni fa, scoperto nel 1984 nella grotta delle Conturines e chiamato “Ursus ladinicus”. Pezzi forti dell’esposizione sono ossa originali, denti e crani. Installazioni video, uno scheletro intero di orso delle caverne, una riproduzione dell’“orso che dorme” e bellissimi fossili arricchiscono il percorso espositivo.","The museum is dedicated to the prehistoric cave bear and the geology of the Dolomites. It explains the history and habitat of the cave bears that lived around 40,000 years ago on three floors. Centerpieces are the original bones, teeth, and skull of the cave bear species ""Ursus ladinicus"" discovered in 1984. Video installations, a complete skeleton and a detailed replica of a sleeping Ursus ladinicus enrich the tour.",11.932975,46.571271
Touriseum - Landesmuseum für Tourismus - Schloss Trauttmansdorff,Touriseum - Museo provinciale del Turismo - Castel Trauttmansdorff,Touriseum - South Tyrol Museum of Tourism - Trauttmansdorff Castle,St. Valentin-Straße 51a,"via S. Valentino, 51a",39012,Meran,Merano,www.touriseum.it,www.touriseum.it,+39 0473 255655,,+39 0473 255656,info@touriseum.it,info@touriseum.it,"Gärten und Touriseum: - 15,00 € Erwachsene - 13,00 € Senioren (ab 65)  - 12,00 € Gruppen (ab 15 Pers.) - 12,00 € Kinder/Schüler (unter 18 J.), Studenten (unter 28 J.), Personen mit Behinderung, Zivildiener - 4,00 € Schulklassen (pro SchülerIn, nur mit Anmeldung, inklusive didaktische Aktion Touriseum) - 32,00 € Familienkarte (2 Erwachsene, Kinder unter 18 J.)  - 17,00 € Familienkarte ""mini"" (1 Erwachsene/r, Kinder unter 18 J.) - Kinder bis 6 Jahre frei  - 8,50 € Sommerabend-Ticket (Juni-Aug ab 18 h)  - 8,50 € Spätherbst-Ticket (3.-15. Nov)","Giardini e Touriseum: - € 15,00 adulti  - € 13,00 anziani (oltre i 65 anni)  - € 12,00 gruppi (minimo 15 pers.)  - € 12,00 bambini/scolari (fino ai 18 anni), studenti (fino ai 28 anni), disabili, obiettori  - € 4,00 scolaresche(a scolaro/a, solo su prenotazione, azione didattica del Touriseum inclusa) - € 32,00 biglietto famiglia (2 adulti, ragazzi fino ai 18 anni)  - € 17,00 biglietto famiglia ""mini"" (1 adulto/a, ragazzi fino ai 18 anni) - entrata gratuita per bambini fino ai 6 anni  - € 8,50 biglietto ""sera d'estate"" (giu-ago dopo le ore 18)  - € 8,50 biglietto di tardo autunno (3-15 nov)","Gardens and Touriseum - €15.00 adults  - €13.00 elderly (over 65 years)  - €12.00 groups (15 or more)  - €12.00 students (up to 28), disabled persons, military  - €4.00 students (with class)  - €32.00 family ticket (2 adults, children up to 18)  - €17.00 family ticket ""mini"" (1 adult, children up to 18) - free for children (up to 6)  - €8.50 summer nights ticket (Juny-Aug from 6 pm)  - €8.50 Late-Autumn Ticket (3-15 Nov)","1. April-15. Okt täglich 9-19 h - 16. Okt-31. Okt täglich 9-18 h - Juni, Juli, Aug freitags bis 23 h - 1.-15. Nov täglich 9-17 h","1 aprile-15 ott tutti i giorni h 9-19 - 16 ott-31 ott tutti i giorni h 9-18 - giu, lug, ago ogni ven fino h 23 - 1°-15 nov tutti i giorni h 9-17","1th April-15 Oct daily 9-7 pm - 16 Oct-31 Oct daily 9-6 pm - June, July, Aug Fri to 11 pm - 1-15 Nov daily 9-5 pm","Auf Schloss Trauttmansdorff bei Meran, dem ehemaligen Feriendomizil der Kaiserin Elisabeth von Österreich („Sissi“), befindet sich heute ein unterhaltsames Erlebnismuseum: das Südtiroler Landesmuseum für Tourismus. Inmitten des Botanischen Gartens gelegen, ist es das erste Museum des Alpenraums, das sich der Geschichte des Tourismus in Tirol widmet. Eine spannende Zeitreise durch lebendig inszenierte Räume erzählt 200 Jahre Tourismusgeschichte aus der Sicht der Reisenden wie auch der Gastgeber*innen.","Un tempo residenza estiva dell’imperatrice Elisabetta d’Austria, meglio nota come Sissi, Castel Trauttmansdorff oggi ospita il Touriseum, il Museo provinciale del Turismo. Circondato dallo spettacolare orto botanico di Castel Trauttmansdorff, è il primo museo in tutto l’arco alpino specializzato nella storia del turismo. Il percorso offre, grazie a pannelli illustrati, un emozionante viaggio nel tempo alla scoperta dei 200 anni di tradizione turistica del Tirolo, sia dal punto di vista dei villeggianti sia da quello della popolazione locale.","Castle Trauttmansdorff near Meran/Merano, the former holiday home of Empress Elisabeth of Austria (""Sissi""), is now home to an entertaining adventure museum. Located in the middle of the Botanical Garden, it is the first museum in the Alpine region dedicated to the history of tourism in Tyrol. An exciting journey through time in vividly staged rooms recounts 200 years of tourism history from the perspective of both travellers and hosts.",11.18513345,46.66071804
Gebietsmuseum Deutschnofen - Schloss Thurn,Museo territoriale di Nova Ponente - Castel Thurn,Deutschnofen Museum - Thurn Castle,Schloss-Thurn-Straße 1,"via Castel Thurn, 1",39050,Deutschnofen,Nova Ponente,www.deutschnofen.eu,www.nova-ponente.eu,+39 0471 617500,,+39 0471 617555,info@nova-ponente.eu,info@deutschnofen.eu,freier Eintritt,ingresso libero,free admission,"Mo-Fr 8-12.30 h, Mo auch 14-17.45 h","lun-ven h 8-12.30, lun anche h 14-17.45","Mon-Fri 8-12.30, Mon also 2-5.45 pm","Im Erdgeschoss des Schlosses Thurn (13. Jahrhundert), ehemals Gericht und heutiges Gemeindehaus, können sakrale Kunstgegenstände wie Altarblätter aus dem 16. Jahrhundert, Gemälde, frühbarocke Heiligenstatuen und Weiheurkunden aus der näheren Umgebung besichtigt werden.","A pianterreno di Castel Thurn (XIII sec.), antica sede giudiziaria e attuale municipio, è possibile ammirare una preziosa collezione di opere d’arte religiosa – pale d’altare, dipinti e statue di santi del primo barocco – e atti di consacrazione.","On the ground floor of Castle Thurn (13th century), formerly a court and today's town hall, sacred art objects such as 16th century altarpieces, paintings, early Baroque statues of saints and consecration documents from the surrounding area can be viewed.",11.425513,46.414321
Südtiroler Weinmuseum,Museo provinciale del vino,South Tyrolean Wine Museum,Goldgasse 1,"vicolo dell'Oro, 1",39052,Kaltern,Caldaro,www.weinmuseum.it,www.museo-del-vino.it,+39 0471 963168,,+39 0471 963168,info@museo-del-vino.it,info@weinmuseum.it,"6,00 € Erwachsene  - 4,50 € Gruppen ab 15 Personen, Senioren ab 65 J., Studenten von 16 bis 27  J., Jugendliche ab 16 J., Personen mit Beeinträchtigung - 1,00 € Schüler (Klasse)  - 12,00 € Familienkarte (2 Erwachsene, Kinder bis 16 J.) - 6,00 € kleine Familienkarte (1 Erwachsener, Kinder bis 16 J.) - 30,00 € Führungen für Schulklassen - 40,00 € Führungen für Gruppen - 6,00 € Weinprobe","€ 6,00 adulti  - € 4,50 gruppi a partire da 15 persone, anziani dai 65 anni di età, studenti dai 16 ai 27 anni, ragazzi dai 16 anni, persone disabili - € 1,00 alunni di gruppi scolastici - € 12,00 biglietto famiglia (2 adulti, bambini fino ai 16 anni) - € 6,00 biglietto famiglia mini (1 adulto, bambini fino ai 16 anni) - € 30,00 visita guidata per scolaresche - € 40,00 visita guidata per gruppi - € 6,00 degustazione vini","€6.00 adults  - €4.50 groups from 15 people upwards, seniors from 65 years up, students up to 27 years, teenagers from 16 years up, disabled people  - €1.00 pupils in school classes - €12,00 family card (2 adults, children to 16 years) - €6,00 family card mini (1 adult, children to 16 years) - €30.00 guided tours for school classes  - €40.00 guided tours for groups - €6.00 wine tasting",1. April-11. Nov - Di-Sa 10-17 h - sonn- und feiertags geschlossen (für Gruppen auf Anfrage),1° apr-11 nov - mar-sab h 10-17 - dom e festivi chiuso (per gruppi su richiesta),1 Apr-11 Nov - Tue-Sat 10-5 pm - closed Sun and public holidays (for groups on request),"Das Südtiroler Weinmuseum hat seinen Sitz im Zentrum von Kaltern, im ehemaligen Zehentkeller der Herrschaft Kaltern-Laimburg. Das Museum gibt Einblick in die Kulturgeschichte des Südtiroler Weinbaus: von historischen Geräten, die durch das Arbeitsjahr am Weinhof führen, bis zu religiösen Darstellungen, die auf die vielen Schnittpunkte zwischen Wein und Religion hinweisen. Im museumseigenen kleinen Weingarten werden über 30 verschiedene Rebsorten kultiviert und können im Herbst auch verkostet werden.","Il Museo provinciale del vino si trova nel centro di Caldaro, in quello che fu l’edificio amministrativo della signoria Caldaro-Laimburg. Il museo offre uno sguardo sulla storia della viticoltura in Alto Adige: dagli attrezzi storici che accompagnavano l’annata lavorativa del viticoltore, fino alle rappresentazioni religiose che illustrano il rapporto tra vino e religione. Nel piccolo vigneto del museo si coltivano oltre 30 vitigni diversi le cui uve si possono assaggiare in autunno.","The South Tyrol Wine Museum is located in the centre of Kaltern/Caldaro, in the former tithe cellar of the lordship of Kaltern-Laimburg. The museum provides an insight into the cultural history of South Tyrolean viticulture: from historical tools used over the working year on the vineyard to religious displays that point to the many intersections between wine and religion. More than 30 different grape varieties are cultivated in the museum's own small vineyard and can also be tasted in autumn.",11.246588,46.412772
Landesmuseum Bergbau - Standort Ridnaun,Museo provinciale Miniere - sede Ridanna,South Tyrol Museum of Mining - Site Ridnaun,"Maiern 48, Ridnaun","Masseria 48, Ridanna",39040,Ratschings,Racines,www.bergbaumuseum.it,www.museominiere.it,+39 0472 656364,,+39 0472 656404,ridanna@museiprovinciali.it,ridnaun@landesmuseen.it,"Museumsgelände und Dauerausstellung ohne Führung - 5,00 € Erwachsene  - 4,00 € Gruppen ab 15 Personen, SeniorInnen und Senioren ab 65 Jahren - 2,50 € SchülerInnen/StudentInnen (bis 27), Personen mit Behinderung  - 10,00 € Familienkarte (mit Kindern bis 16 Jahren)  - Ridnaun Kompakt - geführte Tour: - 10,00 € Erwachsene  - 8,00 € Gruppen ab 15 Personen, SeniorInnen und Senioren ab 65 Jahren - 4,00 € SchülerInnen/StudentInnen (bis 27), Personen mit Behinderung  - 20,00 € Familienkarte (mit Kindern bis 16 Jahren)  -  Abenteuer Schicht - geführte Tour: - 25,00 € Erwachsene  - 17,00 € SeniorInnen, Personen mit Behinderung - 16,00 € Kinder bis 16 Jahre, SchülerInnen, StudentInnen - Erlebnis Bergbau - geführte Tagestour: - 36,00 € Erwachsene  - 22,00 € SeniorInnen, Personen mit Behinderung - 20,00 € Kinder bis 16 Jahre, SchülerInnen, StudentInnen  - 15,00 € Kinder bis 16 Jahre mit Eltern  - Bergbau Junior - Kinderführung: - 8,00 € Kinder, SchülerInnen, StudentInnen - 10,00 € Erwachsene","Area museale ed esposizione permanente senza guida - € 5,00 adulti  - € 4,00 gruppi (min. 15 pers.), anziani oltre 65 anni - € 2,50 scolaresche, studenti (fino ai 27 anni), disabili  - € 10,00 carta famiglia (con bambini fino ai 16 anni)  - <span>Ridanna compact - visita guidata: - € 10,00 adulti  - € 8,00 gruppi (min. 15 pers.), anziani oltre 65 anni - € 4,00 scolaresche, studenti (fino ai 27 anni), disabili  - € 20,00 carta famiglia (con bambini fino ai 16 anni)  - <span>Tour del minatore - visita guidata: - € 25,00 adulti  - € 17,00 anziani, disabil - € 16,00 bambini fino ai 16 anni, scolaresche, studenti  - <span>Un giorno in miniera -  visita guidata (giornata intera): - € 36,00 adulti  - € 22,00 anziani, disabili  - € 20,00 bambini fino ai 16 anni, scolaresche, studenti - € 15,00 bambini fino ai 16 anni con genitori  - <span>Miniera for kids - visita guidata: - € 8,00 bambini, scolaresche, studenti - € 10,00 adulti","Museum grounds and permanent exhibition without guide - €5.00 adults  - €4.00 groups (15 or more), elderly over 65 years - €2.50 school groups, students (up to 27), handicapped  - €10.00 family card (with children up to 16 years)  - <span>Ridnaun Compact - guided tour: - €10.00 adults  - €8.00 groups (15 or more), elderlyover 65 years - €4.00 school groups, students (up to 27), people with disabilities  - €20.00 family card (with children up to 16 years)  - <span>Adventure Shift - guided tour: - €25.00 adults  - €17.00 elderly, people with disabilities - €16.00 children up to 16, school classes, students - <span>Mining Experience - guided full-day tour: - €36.00 adults  - €22.00 elderly, people with disabilities - €20.00 children up to 16, school classes, students - €15.00 children up to 16 with parents  - <span>Mining for Juniors - children's tour: - €8.00 children, school classes, students - €10.00 adults",14. Apr-6. Nov - Di-So 10-17 h - geschl. Mo (außer Feiertage),14 apr-6 nov - mar-dom h 10-17 - chiuso lun (eccetto festivi),14 Apr-6 Nov - Tue-Sun 10-5 pm - closed Mon (except on public holidays),"Der Standort Ridnaun ist ein einmaliges Denkmal der industriellen Revolution. Hier entstand vor 150 Jahren eine Erzaufbereitungsanlage modernster Machart. Gewaltige Maschinen brechen und zermalmen das Gestein, große Flotationsbecken fördern die Erze zutage. Beeindruckende Bremsberge und Pferdebahnstrecken ziehen als weltweit größte Übertageförderanlage zum Erzrevier ins Hochgebirge. Der Poschhausstollen führt auf 6 km Länge quer durch den Berg in das Passeiertal.","La sede di Ridanna è una testimonianza unica della rivoluzione industriale. 150 anni fa qui fu realizzato un modernissimo impianto di arricchimento del minerale. Potenti macchinari frantumano e macinano finemente la roccia, mentre grandi bacini di flottazione separano il minerale. L'impianto di trasporto su rotaia all’aperto, con impressionanti piani inclinati e binari per il traino con i cavalli, è il più grande del mondo. La galleria Poschhaus attraversa la montagna per 6 km e sbocca in Val Passiria.","This area is a unique monument to the industrial revolution. A state-of-the-art ore processing plant was built here 150 years ago. Huge machines break and crush the rock, large flotation basins bring the ores to the surface. Impressive brake inclines and horse-drawn railway lines pull the world's largest surface conveyor system to the ore district in the high mountains. The Poschhaus gallery leads 6 km across the mountain into the Passeier valley.",11.27167224,46.92822754
Schulmuseum Bozen,Museo della Scuola Bolzano,School Museum Bolzano,"Rentschnerstraße, 51/B","via Rencio, 51/B",39100,Bozen,Bolzano,www.gemeinde.bozen.it/schulmuseum,www.comune.bolzano.it/museodellascuola,+39 0471 997581,+39 0471 997588,,museo.scuola@comune.bolzano.it,schulmuseum@gemeinde.bozen.it,freier Eintritt,ingresso libero,free admission,"Sa, So 15-18 h (Juli, Aug nur mit Vormerkung) - täglich mit Vormerkung (mindestens 6 Personen) - Führungen mit Vormerkung: -  Tel. +39 0471 095474, <a href=""mailto: museenvormerkungen@gemeinde.bozen.it"">museenvormerkungen@gemeinde.bozen.it</a> - geschl. 1. Jan, Ostern, 1. Mai, 24., 25. und 31. Dez","sab, dom h 15-18 (lug, ago solo su prenotazione) - tutti i giorni su prenotazione (gruppi min. 6 persone) - visite guidate su prenotazione: - tel. +39 0471 095474, <a href=""mailto: prenotazionimusei@comune.bolzano.it"">prenotazionimusei@comune.bolzano.it</a> - chiuso 1° gen, Pasqua, 1° mag, 24, 25 e 31 dic","Sat, Sun 3-6 pm (July, Aug only by booking) - daily by booking (at least 6 persons) - guided tours by booking: - phone +39 0471 095474, <a href=""mailto: museumsbookings@comune.bolzano.it"">museumsbookings@comune.bolzano.it</a> - closed 1 Jan, Easter, 1 May, 24, 25 and 31 Dec","Das Schulmuseum Bozen wurde als offenes Museum konzipiert. Die ausgestellten Objekte (Lehrmaterial, Fotos, Dokumente, Mobiliar, Wandbilder) spiegeln die Geschichte der drei Sprachgruppen dieses Landes wider. Persönliche Erfahrungen und kollektive Geschichte begegnen sich.","Il Museo della Scuola di Bolzano è stato concepito come museo aperto. Gli oggetti esposti (materiali didattici, fotografie, documenti, arredi, cartelloni) rispecchiano la storia dei tre gruppi linguistici di questa terra, in un incontro tra esperienze personali e vicende collettive.","The city's school museum was conceived as an open museum. The exhibits (teaching materials, photos, documents, furniture, murals) reflect the history of the three linguistic groups of South Tyrol. Personal experiences and collective history meet.",11.375946,46.498573
